window_seconds,num_windows,min_cf_db,mean_cf_db,median_cf_db,p95_cf_db,max_cf_db,std_cf_db
0.005,14400,0.0,5.078601060148361,4.674976638725349,9.905491674805297,15.239967089306568,3.3067098889593862
0.01,7200,0.0,5.387595705144274,3.8490723430389506,10.441508883087915,16.46852858642024,3.5674060615865835
0.02,3600,0.0,5.695491622675907,3.55410991399589,10.907836871860605,19.478826776222174,3.8771105163222996
0.05,1440,0.0,6.103450435882792,3.183147600429936,11.644510870501028,20.303157523198863,4.358312008464905
0.1,720,0.0,6.546617996035369,3.0965300017389197,12.204737166618054,23.31345722810414,5.022176371093648
0.25,288,0.0,7.486277775401596,3.0129564843060543,27.29121309691808,27.292856576952232,6.647938955109596
0.5,144,0.0,9.10304321160236,3.013118223378794,30.302855327670073,30.30315549132355,9.030758135177301
1.0,72,0.0,11.177664361092553,3.013233582016068,33.31308359169556,33.31339601565422,11.364131279624843
2.0,36,0.0,13.369030194070945,5.512099950294066,36.11398613466103,36.32170158813984,13.096015776311338
5.0,14,0.0,14.27565615803412,10.438774660936177,36.79555012216996,37.05121761195292,11.558913256371975
10.0,7,5.067094134081626,16.10544901459033,15.409427458846498,32.41969318879639,36.85027907185806,10.106295069641751
72.0,1,10.483723701811467,10.483723701811467,10.483723701811467,10.483723701811467,10.483723701811467,0.0
