peak_tau_seconds,mean_error_db,mean_abs_error_db,rmse_db,p95_abs_error_db,max_abs_error_db,within_0_5_db_percent,within_1_0_db_percent
1.4,-2.9029879597190797,3.4149680776683837,5.847818914129333,11.494675389062465,20.03023520547584,40.0,45.714285714285715
1.6,-2.3185819187819314,3.4449355641223565,5.638433993247735,10.872775110275896,18.887212163400203,34.285714285714285,40.0
1.25,-3.2750472102807753,3.570121992030362,6.1912431553528,12.545485011163086,21.49926731154524,42.857142857142854,48.57142857142857
1.12,-3.618748744633796,3.7722641056801343,6.606038990719406,13.683862101758184,23.09071875976725,45.714285714285715,51.42857142857142
1.0,-3.9320165246796996,4.057356627026664,7.109377853426102,14.997374129407078,24.927008892386162,45.714285714285715,51.42857142857142
2.0,-0.8128219155001262,4.0831809087603235,6.353280659401573,12.586073627240307,18.84276483751781,31.428571428571427,37.142857142857146
0.9,-4.242743311673017,4.36715163406013,7.648640728388758,16.359534750651243,26.83130977062752,45.714285714285715,51.42857142857142
2.5,0.4226868559745387,4.617350383981393,7.892449333482668,18.82718095975371,20.61096484760412,31.428571428571427,37.142857142857146
0.8,-4.599017144111514,4.7222647148866645,8.230627617665137,18.0622355272232,28.086973072709004,45.714285714285715,51.42857142857142
0.71,-4.964541324178968,5.0867697884359915,8.78538095375858,19.52534597679876,28.086973072709004,45.714285714285715,51.42857142857142
3.15,1.5775490607215954,5.096197831851493,9.527133479565979,23.178082976870005,28.568849403104796,34.285714285714285,37.142857142857146
0.63,-5.3744372308149355,5.4955153808363075,9.449200316033346,20.50137743415929,28.086973072709004,45.714285714285715,51.42857142857142
4.0,2.554654458611989,5.565625511434468,11.041348836046513,27.766016854675453,35.14902304698235,34.285714285714285,42.857142857142854
0.56,-5.804414184386112,5.924366276428989,10.184229702061225,23.055878719692142,28.086973072709004,45.714285714285715,51.42857142857142
5.0,3.3165945486197246,5.972744899926014,12.238892173313605,31.21086782878421,40.07047525966804,31.428571428571427,54.285714285714285
0.5,-6.163705344530661,6.282698000294634,10.815673159069707,25.24271950736793,30.634256994556154,45.714285714285715,51.42857142857142
6.3,3.9734317186523493,6.355743148260927,13.258595245654568,34.05423688659588,44.1326262921,42.857142857142854,60.0
8.0,4.573653980775599,6.716818764404783,14.092025214380442,36.378144289535996,47.452653578109135,54.285714285714285,57.14285714285714
0.4,-6.817955636476744,6.934709607589949,11.912252378880353,27.543775918550086,36.09331281709925,42.857142857142854,51.42857142857142
10.0,5.0558420249160285,7.101407631893794,14.726364263834949,38.10056977619435,49.91337968388633,45.714285714285715,54.285714285714285
12.5,5.459554042143569,7.436252862981403,15.245444770412762,39.478510165883435,51.88196056902568,40.0,54.285714285714285
0.315,-7.365449019311082,7.47918254287962,12.682496930591062,29.17040755405415,36.114107760219994,42.857142857142854,51.42857142857142
16.0,5.893053220653118,7.741266079302236,15.703819522579552,40.684208006811346,53.60446884345101,28.57142857142857,48.57142857142857
0.25,-7.8835291781205274,7.993573609547805,13.500864882583917,30.495064828738695,36.114107760219994,42.857142857142854,48.57142857142857
20.0,6.291649764847904,8.009136106822892,16.093567231730308,41.703563923506266,54.99297506974123,20.0,42.857142857142854
25.0,6.822951645936893,8.446533424933044,16.72529122987699,43.4014961068715,56.98622750087598,20.0,28.57142857142857
0.2,-8.349167548511407,8.454750684574245,14.184215454030479,33.243251811485855,36.114107760219994,42.857142857142854,48.57142857142857
31.5,7.267603765597316,8.841522910297314,17.25496135860503,44.80296394025866,58.6314517291604,17.142857142857142,25.71428571428571
0.16,-8.761582341821404,8.861601507576802,14.78263597340865,35.00738107619505,36.114107760219994,42.857142857142854,48.57142857142857
40.0,7.631021838803237,9.165480466014229,17.692889285958014,45.94839438100953,59.97610614651025,17.142857142857142,22.857142857142858
0.125,-9.21797246715834,9.310222179334923,15.4587559450493,35.00738107619505,36.114107760219994,42.857142857142854,48.57142857142857
50.0,7.951773760310977,9.454898918006325,18.076042173727874,46.94726176410739,61.12263365336638,17.142857142857142,22.857142857142858
0.1,-9.51471022794036,9.59867007491885,15.833833333063247,35.00738107619505,36.114107760219994,40.0,48.57142857142857
63.0,8.23585959254042,9.709898408953181,18.41609750548639,47.82812448745423,62.12537457417994,14.285714285714285,22.857142857142858
0.08,-9.86703477191317,9.944764561145304,16.376268914085415,35.00738107619505,36.114107760219994,40.0,48.57142857142857
0.05,-10.220138418457047,10.291736459838944,16.866402518457225,35.704917713716625,36.114107760219994,34.285714285714285,48.57142857142857
