window_seconds,best_peak_tau_seconds,best_mean_abs_error_db,best_rmse_db,best_p95_abs_error_db,tau_1s_mean_abs_error_db,tau_2s_mean_abs_error_db
0.005,0.05,3.6556892625960566,5.265864526864923,9.747042640530415,5.096875437914603,7.425210769720382
0.01,0.2,3.6424103929404867,5.731787215501952,11.141501796355024,4.848027384529199,7.106944774205459
0.02,0.2,3.6375667727835728,5.710092696410732,11.197681393030582,4.6675249945082395,6.850867380382654
0.05,0.2,3.5679693919075133,5.555563470159702,11.160947445636081,4.400670944729498,6.497213377690539
0.1,0.25,3.48728400039261,5.4740271495447494,11.341755743821366,4.115036048958978,6.1221567475992575
0.25,0.315,3.2812692592878947,5.294599944548966,11.501060324656919,3.412324771578159,5.3516796344153645
0.5,1.25,2.5315832054043312,5.009296206406799,13.835982088007285,2.5870333041662326,4.084468017335884
1.0,1.4,2.3044100066429687,4.260965647558462,11.189290381703112,2.651929137449727,3.369498519175973
2.0,1.4,3.4149680776683837,5.847818914129333,11.494675389062465,4.057356627026664,4.0831809087603235
5.0,3.15,4.994916119469273,8.147669671443875,17.39404532888578,5.749910954256892,5.095195545727072
10.0,3.15,5.0100570403354014,6.091375661147128,10.670328284077225,8.412832782428472,6.540955309293202
72.0,2.0,0.4859579340132587,0.4859579340132587,0.4859579340132587,10.483723701811467,0.4859579340132587
