path,rms,rms_delta_db_vs_source,peak,peak_delta_db_vs_source,crest_factor_db,crest_factor_delta_db_vs_source,error_rms_db_relative_to_source,error_peak_db_relative_to_source_peak
source,0.4761172519568741,0.0,0.949999988079071,0.0,6.000193631148352,0.0,-400.0,-400.0
direct_time_domain_band_sum,0.6090071310536476,2.138169193397413,1.4699734788645191,3.7917179895175908,7.653742427268529,1.6535487961201776,-10.454629532794634,-5.234847935589983
power_complementary_synthesis_sum,0.476117251956874,-1.9286549331065743e-15,0.9499999880790724,1.1571929598639439e-14,6.000193631148366,1.4210854715202004e-14,-301.9817231842744,-293.0711953815469
