signal_name,block_duration_seconds,num_blocks,max_band_rms_delta_db,mean_abs_band_rms_delta_db,block_closure_error_db,block_captured_power_percent,same_length,all_finite
pink_noise,30.0,2,0.03562253163020121,0.007097476390129603,-2.6036841596938793e-14,99.99999999999939,True,True
white_noise,30.0,2,0.03534926089572811,0.004713651665183608,5.5930993060090475e-14,100.00000000000131,True,True
octave_multitone,30.0,2,0.003955612044789074,0.0006473532622880278,1.1571929598639439e-14,100.00000000000028,True,True
log_sweep,30.0,2,0.0018691999719702445,0.0002067055592311114,-7.488967105256056e-12,99.99999999982755,True,True
lfe_31hz_sine,30.0,2,0.003975096079235367,0.003975096079235367,-2.381888842386652e-13,99.9999999999945,True,True
mid_1khz_sine,30.0,2,0.0,0.0,-6.503231568966403e-11,99.99999999850257,True,True
