gain,frequency_hz,median_peak_dbfs,median_rms_dbfs,median_crest_factor_db,valid_windows
0.25,62.5,-17.37836420748235,-21.9626233932799,4.584259188082812,11
0.25,1000.0,-23.998091580378155,-28.58245647594084,4.584364905130705,11
0.5,62.5,-11.357764297414183,-15.942023485444242,4.584259188082812,11
0.5,1000.0,-17.97749167398012,-22.56185657432681,4.584364905130705,11
1.0,62.5,-5.337164385740291,-9.9214235748866,4.584259188082812,11
1.0,1000.0,-11.956891764141291,-16.541256666879992,4.584364905130705,11
